"species","method","year","shapiro","wilcox","lm","slope_eq1","adj_r_squared"
"coho","weir",2016,0.0001,0.3902,0,NA,NA
"coho","weir",2017,0.0043,0.3014,0,NA,NA
"coho","weir",2018,0.0019,0.6373,0,NA,NA
"sockeye","weir",2016,0.308,NA,0,0.7345,0.7894
"sockeye","weir",2017,0.8124,NA,0,0.9982,0.9219
"sockeye","weir",2018,0.19,NA,0,0.4057,0.9428
"total","sonar",2016,0.0674,NA,0,0.1298,0.7379
"total","sonar",2017,0.8021,NA,0,0.0066,0.9699
"total","sonar",2018,0.6545,NA,0,0.0659,0.8617
"total","weir",2016,0.4947,NA,0,0.3579,0.7755
"total","weir",2017,0.0035,0.2183,0,NA,NA
"total","weir",2018,0.2672,NA,0,0.3833,0.9419
