method,date,proportion_of_files_available,species,ten_minute,sixty_minute
weir,8/8/2018,1,sockeye,1837,1905
weir,8/9/2018,1,sockeye,6243,7094
weir,8/10/2018,1,sockeye,1708,2902
weir,8/11/2018,1,sockeye,2249,2536
weir,8/12/2018,0.9,sockeye,730,686
weir,8/13/2018,1,sockeye,3494,3262
weir,8/14/2018,1,sockeye,1486,1390
weir,8/15/2018,1,sockeye,2328,2386
weir,8/16/2018,1,sockeye,3397,3032
weir,8/17/2018,1,sockeye,542,867
weir,8/18/2018,1,sockeye,249,266
weir,8/1/2018,0.96,Chinook,6,5
weir,8/2/2018,0.97,Chinook,1,3
weir,8/3/2018,0.8,Chinook,6,1
weir,8/4/2018,1,Chinook,0,3
weir,8/5/2018,1,Chinook,6,5
weir,8/6/2018,1,Chinook,0,7
weir,8/7/2018,1,Chinook,0,3
weir,8/8/2018,1,Chinook,0,0
weir,8/9/2018,1,Chinook,0,3
weir,8/10/2018,1,Chinook,12,7
weir,8/11/2018,1,Chinook,12,5
weir,8/12/2018,0.9,Chinook,7,2
weir,8/13/2018,1,Chinook,0,4
weir,8/14/2018,1,Chinook,0,2
weir,8/15/2018,1,Chinook,0,1
weir,8/16/2018,1,Chinook,0,3
weir,8/17/2018,1,Chinook,0,0
weir,8/18/2018,1,Chinook,0,1
weir,8/1/2018,0.96,pink,24,12
weir,8/2/2018,0.97,pink,13,17
weir,8/3/2018,0.8,pink,6,2
weir,8/4/2018,1,pink,62,34
weir,8/5/2018,1,pink,24,11
weir,8/6/2018,1,pink,6,26
weir,8/7/2018,1,pink,18,10
weir,8/8/2018,1,pink,6,4
weir,8/9/2018,1,pink,54,26
weir,8/10/2018,1,pink,12,9
weir,8/11/2018,1,pink,18,9
weir,8/12/2018,0.9,pink,32,26
weir,8/13/2018,1,pink,24,9
weir,8/14/2018,1,pink,0,2
weir,8/15/2018,1,pink,18,33
weir,8/16/2018,1,pink,8,29
weir,8/17/2018,1,pink,0,2
weir,8/18/2018,1,pink,6,0
weir,8/1/2018,0.96,coho,6,0
weir,8/2/2018,0.97,coho,0,0
weir,8/3/2018,0.8,coho,0,0
weir,8/4/2018,1,coho,0,0
weir,8/5/2018,1,coho,6,2
weir,8/6/2018,1,coho,0,7
weir,8/7/2018,1,coho,0,6
weir,8/8/2018,1,coho,1,6
weir,8/9/2018,1,coho,0,8
weir,8/10/2018,1,coho,25,33
weir,8/11/2018,1,coho,18,18
weir,8/12/2018,0.9,coho,12,8
weir,8/13/2018,1,coho,37,41
weir,8/14/2018,1,coho,66,52
weir,8/15/2018,1,coho,84,126
weir,8/16/2018,1,coho,322,190
weir,8/17/2018,1,coho,36,10
weir,8/18/2018,1,coho,18,74
weir,8/1/2018,0.96,chum,0,3
weir,8/2/2018,0.97,chum,0,1
weir,8/3/2018,0.8,chum,6,1
weir,8/4/2018,1,chum,0,1
weir,8/5/2018,1,chum,0,1
weir,8/6/2018,1,chum,6,2
weir,8/7/2018,1,chum,0,2
weir,8/8/2018,1,chum,0,5
weir,8/9/2018,1,chum,0,12
weir,8/10/2018,1,chum,0,5
weir,8/11/2018,1,chum,0,3
weir,8/12/2018,0.9,chum,0,0
weir,8/13/2018,1,chum,0,4
weir,8/14/2018,1,chum,0,1
weir,8/15/2018,1,chum,0,0
weir,8/16/2018,1,chum,0,4
weir,8/17/2018,1,chum,0,1
weir,8/18/2018,1,chum,0,0
weir,8/1/2018,0.96,dolly varden,12,5
weir,8/2/2018,0.97,dolly varden,0,3
weir,8/3/2018,0.8,dolly varden,6,6
weir,8/4/2018,1,dolly varden,18,10
weir,8/5/2018,1,dolly varden,30,10
weir,8/6/2018,1,dolly varden,6,19
weir,8/7/2018,1,dolly varden,6,16
weir,8/8/2018,1,dolly varden,12,7
weir,8/9/2018,1,dolly varden,13,18
weir,8/10/2018,1,dolly varden,12,7
weir,8/11/2018,1,dolly varden,0,4
weir,8/12/2018,0.9,dolly varden,6,5
weir,8/13/2018,1,dolly varden,6,2
weir,8/14/2018,1,dolly varden,0,5
weir,8/15/2018,1,dolly varden,0,4
weir,8/16/2018,1,dolly varden,0,4
weir,8/17/2018,1,dolly varden,0,1
weir,8/18/2018,1,dolly varden,0,3
didson sonar,8/10/2017,0.83,sockeye,1290,1738
didson sonar,8/11/2017,0.92,sockeye,1614,1483
didson sonar,8/12/2017,1,sockeye,1582,1874
didson sonar,8/13/2017,0.81,sockeye,2341,2490
didson sonar,8/14/2017,1,sockeye,4320,3797
didson sonar,8/15/2017,1,sockeye,2392,2560
didson sonar,8/16/2017,1,sockeye,2487,2929
didson sonar,8/17/2017,1,sockeye,2464,2746
didson sonar,8/18/2017,0.9,sockeye,641,629
didson sonar,8/19/2017,1,sockeye,2439,2557
didson sonar,8/20/2017,1,sockeye,4943,4984
didson sonar,8/21/2017,1,sockeye,5534,5131
didson sonar,8/22/2017,1,sockeye,2665,3256
didson sonar,8/23/2017,1,sockeye,2999,2847
didson sonar,8/24/2017,1,sockeye,4988,4175
didson sonar,8/25/2017,1,sockeye,2770,2717
didson sonar,8/26/2017,1,sockeye,1471,1805
didson sonar,8/27/2017,1,sockeye,1515,1594
didson sonar,8/28/2017,1,sockeye,1021,1208
didson sonar,8/29/2017,1,sockeye,1575,1419
didson sonar,8/30/2017,1,sockeye,2307,2285
didson sonar,8/31/2017,0.83,sockeye,1968,1704
didson sonar,9/1/2017,0.66,sockeye,1587,1572
didson sonar,9/2/2017,1,sockeye,1897,2136
didson sonar,9/3/2017,1,sockeye,7092,1798
didson sonar,9/4/2017,1,sockeye,3372,3312
didson sonar,9/5/2017,1,sockeye,5856,6131
didson sonar,9/6/2017,1,sockeye,3640,3838
didson sonar,8/10/2017,0.83,Chinook,0,0
didson sonar,8/11/2017,0.92,Chinook,0,0
didson sonar,8/12/2017,1,Chinook,0,0
didson sonar,8/13/2017,0.81,Chinook,0,0
didson sonar,8/14/2017,1,Chinook,0,0
didson sonar,8/15/2017,1,Chinook,0,0
didson sonar,8/16/2017,1,Chinook,0,0
didson sonar,8/17/2017,1,Chinook,0,0
didson sonar,8/18/2017,0.9,Chinook,0,0
didson sonar,8/19/2017,1,Chinook,0,0
didson sonar,8/20/2017,1,Chinook,0,0
didson sonar,8/21/2017,1,Chinook,0,0
didson sonar,8/22/2017,1,Chinook,0,0
didson sonar,8/23/2017,1,Chinook,0,0
didson sonar,8/24/2017,1,Chinook,0,0
didson sonar,8/25/2017,1,Chinook,0,0
didson sonar,8/26/2017,1,Chinook,0,0
didson sonar,8/27/2017,1,Chinook,0,0
didson sonar,8/28/2017,1,Chinook,0,0
didson sonar,8/29/2017,1,Chinook,0,0
didson sonar,8/30/2017,1,Chinook,0,0
didson sonar,8/31/2017,0.83,Chinook,0,0
didson sonar,9/1/2017,0.66,Chinook,0,0
didson sonar,9/2/2017,1,Chinook,0,0
didson sonar,9/3/2017,1,Chinook,0,0
didson sonar,9/4/2017,1,Chinook,0,0
didson sonar,9/5/2017,1,Chinook,0,0
didson sonar,9/6/2017,1,Chinook,0,0
didson sonar,8/10/2017,0.83,pink,1146,1545
didson sonar,8/11/2017,0.92,pink,1434,1318
didson sonar,8/12/2017,1,pink,1406,1665
didson sonar,8/13/2017,0.81,pink,2081,2213
didson sonar,8/14/2017,1,pink,3840,3375
didson sonar,8/15/2017,1,pink,2126,2276
didson sonar,8/16/2017,1,pink,2211,2604
didson sonar,8/17/2017,1,pink,5330,5938
didson sonar,8/18/2017,0.9,pink,5587,5484
didson sonar,8/19/2017,1,pink,6293,6598
didson sonar,8/20/2017,1,pink,5853,5902
didson sonar,8/21/2017,1,pink,9852,9134
didson sonar,8/22/2017,1,pink,7593,9277
didson sonar,8/23/2017,1,pink,5519,5239
didson sonar,8/24/2017,1,pink,6175,5169
didson sonar,8/25/2017,1,pink,5466,5361
didson sonar,8/26/2017,1,pink,5367,6584
didson sonar,8/27/2017,1,pink,2739,2882
didson sonar,8/28/2017,1,pink,3244,3840
didson sonar,8/29/2017,1,pink,9815,8839
didson sonar,8/30/2017,1,pink,12142,12023
didson sonar,8/31/2017,0.83,pink,8658,7498
didson sonar,9/1/2017,0.66,pink,5564,5511
didson sonar,9/2/2017,1,pink,5194,5847
